OTU,Domain,Phylum,Class,Order,Family,Genus,Species
OTU3,k:Bacteria(1.0000),p:Firmicutes(0.9600),c:Clostridia(0.8352),o:Clostridiales(0.5763),f:YNPFFP2(0.2536)
OTU38,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Solirubrobacterales(1.0000),f:YNPFFP1(1.0000)
OTU35,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU40,k:Bacteria(1.0000),p:Chloroflexi(1.0000),c:JG37-AG-4(1.0000)
OTU44,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Clostridia(1.0000),o:Clostridiales(1.0000),f:Family_XVII(1.0000),g:Sulfobacillus(1.0000)
OTU45,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Sphingomonadales(1.0000),f:Sphingomonadaceae(1.0000),g:Sphingomonas(1.0000)
OTU47,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:alphaI_cluster(1.0000)
OTU39,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Legionellales(1.0000),f:Coxiellaceae(1.0000),g:Aquicella(1.0000)
OTU41,k:Bacteria(1.0000),p:Firmicutes(0.9000),c:Clostridia(0.7740),o:Clostridiales(0.5418),f:Family_XVII(0.2872),g:Sulfobacillus(0.1005),s:Bacilli_bacterium_JAM-FM0401(0.0161)
OTU43,k:Bacteria(1.0000),p:Acidobacteria(0.9800),c:Acidobacteria(0.9506),o:Acidobacteriales(0.9221),f:Acidobacteriaceae_[Subgroup_1](0.8944)
OTU42,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000),s:Bacillales_bacterium_P261(0.4200)
OTU48,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU49,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Paenibacillaceae(0.9400),g:Cohnella(0.8836)
OTU50,k:Archaea(1.0000),p:Thaumarchaeota(1.0000),c:South_African_Gold_Mine_Gp_1[SAGMCG-1](1.0000),o:Unknown_Order(0.8900),f:Unknown_Family(0.7921),g:Candidatus_Nitrosotalea(0.7050)
OTU46,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(1.0000),f:Burkholderiaceae(0.9600),g:Burkholderia(0.9216)
OTU51,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Acidobacteriales(1.0000),f:Acidobacteriaceae_[Subgroup_1](1.0000)
OTU52,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Sphingomonadales(1.0000),f:Sphingomonadaceae(1.0000),g:Sphingomonas(0.9600)
OTU53,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:KF-JG30-B3(0.9900)
OTU55,k:Bacteria(1.0000),p:Verrucomicrobia(1.0000),c:Spartobacteria(1.0000),o:Chthoniobacterales(1.0000),f:DA101_soil_group(0.9900)
OTU58,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:SC-I-84(0.8900)
OTU59,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_4(1.0000),f:11-24(1.0000)
OTU54,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(1.0000),f:Comamonadaceae(1.0000),g:Albidiferax(0.3700)
OTU62,k:Bacteria(1.0000),p:Verrucomicrobia(1.0000),c:Spartobacteria(1.0000),o:Chthoniobacterales(1.0000),f:DA101_soil_group(1.0000)
OTU56,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU61,k:Bacteria(1.0000),p:Gemmatimonadetes(1.0000),c:Gemmatimonadetes(1.0000),o:Gemmatimonadales(1.0000),f:Gemmatimonadaceae(1.0000)
OTU60,k:Bacteria(1.0000),p:Proteobacteria(0.9500),c:Alphaproteobacteria(0.9025),o:Rhodospirillales(0.8574),f:Acetobacteraceae(0.8145)
OTU57,k:Bacteria(1.0000),p:Gemmatimonadetes(1.0000),c:Gemmatimonadetes(1.0000),o:Gemmatimonadales(1.0000),f:Gemmatimonadaceae(1.0000)
OTU68,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Clostridia(1.0000),o:Clostridiales(1.0000),f:Family_XVII(1.0000),g:Sulfobacillus(1.0000)
OTU66,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU65,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000)
OTU70,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadaceae(1.0000),g:Dyella(0.9700),s:Dyella_japonica(0.5432)
OTU63,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodospirillales(1.0000),f:JG37-AG-20(1.0000)
OTU64,k:Bacteria(1.0000),p:Chloroflexi(0.9800),c:KD4-96(0.9604)
OTU67,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadaceae(1.0000)
OTU69,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Frankiales(1.0000),f:Acidothermaceae(1.0000),g:Acidothermus(1.0000)
OTU73,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Caulobacterales(1.0000),f:Caulobacteraceae(1.0000)
OTU71,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_3(1.0000),f:Unknown_Family(1.0000),g:Bryobacter(0.9700)
OTU75,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(0.9600),o:Methylophilales(0.9216),f:Methylophilaceae(0.8847),g:Methylotenera(0.4247)
OTU74,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(1.0000),f:Burkholderiaceae(1.0000),g:Burkholderia(1.0000)
OTU72,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(0.9400),f:Oxalobacteraceae(0.8554),g:Collimonas(0.4106),s:Collimonas_fungivorans(0.0616)
OTU76,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadaceae(1.0000),g:Dokdonella(1.0000)
OTU78,k:Bacteria(1.0000),p:Verrucomicrobia(1.0000),c:Spartobacteria(1.0000),o:Chthoniobacterales(1.0000),f:Xiphinematobacteraceae(1.0000),g:Candidatus_Xiphinematobacter(1.0000)
OTU81,k:Bacteria(1.0000),p:Actinobacteria(0.9900),c:Thermoleophilia(0.9801),o:Gaiellales(0.9703)
OTU77,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:SC-I-84(0.9400)
OTU84,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:Sphingobacteriaceae(1.0000),g:Mucilaginibacter(0.9900)
OTU83,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Tumebacillus(0.9300)
OTU80,k:Bacteria(1.0000),p:Acidobacteria(0.9600),c:Acidobacteria(0.9216),o:Acidobacteriales(0.8847),f:Acidobacteriaceae_[Subgroup_1](0.8493)
OTU79,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_3(1.0000),f:Unknown_Family(1.0000),g:Candidatus_Solibacter(1.0000)
OTU86,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Gaiellales(1.0000)
OTU87,k:Bacteria(0.9300),p:Proteobacteria(0.5766),c:Gammaproteobacteria(0.1787),o:Enterobacteriales(0.0447),f:Enterobacteriaceae(0.0112),g:Candidatus_Carsonella(0.0023),s:Candidatus_Carsonella_ruddii(0.0003)
OTU82,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000)
OTU85,k:Bacteria(1.0000),p:Firmicutes(0.9900),c:Bacilli(0.9801),o:Bacillales(0.9703),f:Alicyclobacillaceae(0.9024),g:Effusibacillus(0.4783)
OTU90,k:Bacteria(1.0000),p:Proteobacteria(0.9900),c:Alphaproteobacteria(0.9702),o:Rhodospirillales(0.9217),f:DA111(0.7650)
OTU88,k:Bacteria(1.0000),p:Firmicutes(0.9900),c:Bacilli(0.9702),o:Bacillales(0.9508),f:Paenibacillaceae(0.7797),g:Paenibacillus(0.6237)
OTU91,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Pseudomonadales(1.0000),f:Moraxellaceae(1.0000),g:Perlucidibaca(1.0000)
OTU94,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Gaiellales(0.9600)
OTU89,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Pseudomonadales(1.0000),f:Moraxellaceae(1.0000),g:Alkanindiges(0.9800)
OTU95,k:Archaea(1.0000),p:Thaumarchaeota(1.0000),c:South_African_Gold_Mine_Gp_1[SAGMCG-1](1.0000)
OTU92,k:Bacteria(1.0000),p:Acidobacteria(0.9400),c:Acidobacteria(0.8836),o:Acidobacteriales(0.8306),f:Acidobacteriaceae_[Subgroup_1](0.7807),g:Granulicella(0.7339)
OTU98,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(0.9900),o:Gaiellales(0.9801)
OTU99,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Acidobacteriales(1.0000),f:Acidobacteriaceae_[Subgroup_1](1.0000)
OTU93,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Micrococcales(0.5000),f:Micrococcaceae(0.2500),g:Arthrobacter(0.1250)
OTU100,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000)
OTU97,k:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:4-29(1.0000)
OTU96,k:Bacteria(1.0000),p:Proteobacteria(0.7800),c:Alphaproteobacteria(0.6084),o:Rhizobiales(0.4563),f:Rhizobiales_Incertae_Sedis(0.3057),g:Rhizomicrobium(0.2048)
OTU101,k:Bacteria(1.0000),p:Proteobacteria(0.7400),c:TA18(0.5476)
OTU106,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodospirillales(1.0000),f:Acetobacteraceae(1.0000)
OTU108,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(0.9800),o:Rhodospirillales(0.9604),f:Acetobacteraceae(0.9412)
OTU105,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Burkholderiales(1.0000),f:Comamonadaceae(1.0000),g:Ottowia(0.2000)
OTU102,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Gaiellales(1.0000)
OTU103,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Methylophilales(1.0000),f:Methylophilaceae(1.0000)
OTU104,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Caulobacterales(1.0000),f:Caulobacteraceae(1.0000),g:Phenylobacterium(1.0000)
OTU111,k:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:0319-6A21(1.0000)
OTU109,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Kyrpidia(1.0000)
OTU107,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Caulobacterales(0.9400),f:Caulobacteraceae(0.8836),g:Phenylobacterium(0.5832)
OTU110,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Rhizobiales_Incertae_Sedis(1.0000),g:Rhizomicrobium(1.0000)
OTU112,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU114,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Rhizobiales_Incertae_Sedis(0.9700),g:Rhizomicrobium(0.9409)
OTU113,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Rhodobiaceae(0.9300)
OTU115,k:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(1.0000),o:Planctomycetales(1.0000),f:Planctomycetaceae(1.0000)
OTU116,k:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(1.0000),o:Planctomycetales(1.0000),f:Planctomycetaceae(1.0000),g:Planctomyces(1.0000)
OTU118,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Nevskiaceae(1.0000),g:Nevskia(1.0000)
OTU122,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:Chitinophagaceae(1.0000)
OTU124,k:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(1.0000),o:Planctomycetales(1.0000),f:Planctomycetaceae(1.0000)
OTU123,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU117,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Gaiellales(1.0000)
OTU120,k:Bacteria(1.0000),p:WD272(1.0000)
OTU121,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadales_Incertae_Sedis(1.0000),g:Acidibacter(1.0000)
OTU127,k:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Sphingobacteriia(1.0000),o:Sphingobacteriales(1.0000),f:env.OPS_17(1.0000)
OTU119,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Bacillaceae(0.9900),g:Bacillus(0.9801),s:Bacillus_cereus(0.3038)
OTU128,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Clostridia(1.0000),o:Clostridiales(1.0000),f:Family_XVII(1.0000),g:Sulfobacillus(1.0000)
OTU125,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(0.9500),o:Rhodospirillales(0.9025),f:Acetobacteraceae(0.8574)
OTU126,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_3(1.0000),f:Unknown_Family(1.0000),g:Bryobacter(0.9600)
OTU130,k:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:4-29(1.0000)
OTU129,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Micrococcales(1.0000),f:Microbacteriaceae(1.0000),g:Lysinimonas(0.2800)
OTU134,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Rhizobiales_Incertae_Sedis(1.0000),g:Rhizomicrobium(1.0000)
OTU136,k:Bacteria(1.0000),p:Verrucomicrobia(0.9400),c:OPB35_soil_group(0.8836)
OTU131,k:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:0319-6A21(1.0000)
OTU132,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Alicyclobacillaceae(1.0000),g:Alicyclobacillus(1.0000)
OTU133,k:Bacteria(1.0000),p:Acidobacteria(0.8300),c:Acidobacteria(0.6889),o:Acidobacteriales(0.5718),f:Acidobacteriaceae_[Subgroup_1](0.4746)
OTU140,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000)
OTU135,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_6(1.0000)
OTU139,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(1.0000),o:Nitrosomonadales(0.9900),f:Nitrosomonadaceae(0.9801)
OTU138,k:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(1.0000),o:Planctomycetales(1.0000),f:Planctomycetaceae(1.0000)
OTU141,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Hyphomicrobiaceae(1.0000),g:Blastochloris(1.0000)
OTU137,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Hyphomicrobiaceae(1.0000),g:Hyphomicrobium(0.8400)
OTU142,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Holophagae(1.0000),o:Subgroup_10(1.0000),f:ABS-19(1.0000)
OTU146,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Acidobacteriales(1.0000),f:Acidobacteriaceae_[Subgroup_1](1.0000)
OTU148,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhizobiales(1.0000),f:Xanthobacteraceae(0.9400)
OTU144,k:Bacteria(1.0000),p:Armatimonadetes(0.9300),c:Armatimonadia(0.8649),o:Armatimonadales(0.8044)
OTU143,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(1.0000),f:Xanthomonadaceae(1.0000),g:Rhodanobacter(0.9000)
OTU145,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Subgroup_2(1.0000)
OTU152,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Caulobacterales(1.0000),f:Caulobacteraceae(1.0000)
OTU150,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(0.9700),o:Bacillales(0.9312),f:Paenibacillaceae(0.8567),g:Paenibacillus(0.7196)
OTU147,k:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Deltaproteobacteria(1.0000),o:Myxococcales(1.0000),f:Cystobacteraceae(1.0000),g:Anaeromyxobacter(1.0000)
OTU149,k:Bacteria(1.0000),p:Firmicutes(1.0000),c:Bacilli(1.0000),o:Bacillales(1.0000),f:Paenibacillaceae(0.9400),g:Paenibacillus(0.7990)
OTU151,k:Bacteria(1.0000),p:Nitrospirae(1.0000),c:Nitrospira(1.0000),o:Nitrospirales(1.0000),f:Nitrospiraceae(1.0000),g:Nitrospira(1.0000)
OTU153,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Solirubrobacterales(1.0000),f:Conexibacteraceae(0.9200),g:Conexibacter(0.8464)
OTU154,k:Bacteria(1.0000),p:Acidobacteria(1.0000),c:Acidobacteria(1.0000),o:Acidobacteriales(1.0000),f:Acidobacteriaceae_[Subgroup_1](1.0000)
OTU159,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Thermoleophilia(1.0000),o:Solirubrobacterales(1.0000),f:Solirubrobacteraceae(0.9800),g:Solirubrobacter(0.9604)
OTU158,k:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Actinobacteria(1.0000),o:Frankiales(1.0000),f:Nakamurellaceae(1.0000),g:Nakamurella(1.0000)
